RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
0,33.2,27.2,30.2,3,90,11.22,10.62,10.9
0,34.8,26.5,30.6,3,120,11.13,10.62,10.86
18.6,33.5,26,29.8,4,270,11.19,10.62,10.88
0,32.7,27.9,30.3,3,240,11.28,10.62,10.91
0,33,28.6,30.8,2,220,11.36,10.62,10.92
0,34.5,29,31.8,2,200,11.4,10.62,10.93
0,34.2,27.5,30.9,2,220,11.44,10.62,10.94
8.2,35,27,31,3,240,11.44,10.61,10.94
0,35.1,28,31.6,3,180,11.42,10.61,10.94
0,35,28,31.5,3,240,11.39,10.62,10.95
22,35,26.5,30.8,2,270,11.37,10.62,10.95
0,35.5,28.7,32.1,3,120,11.26,10.61,10.93
0,34,27,30.5,3,140,11.24,10.61,10.92
0,35,28.5,31.8,2,270,11.23,10.62,10.92
0,35,29.5,32.3,3,270,11.21,10.62,10.93
0,35,28,31.5,3,240,11.17,10.61,10.91
14.4,34.5,25,29.8,3,270,11.19,10.66,10.95
7.3,34.5,24.5,29.5,3,270,-1,-1,-1
0.6,33.5,27.6,30.5,3,20,-1,-1,-1
0,32.8,26,29.4,2,180,-1,-1,-1
0,33.4,26.5,30,2,240,11.61,10.66,10.91
4,32.5,26,29.3,3,180,11.67,10.61,11.02
0,33,26.5,29.8,3,240,11.64,10.61,11.03
0,32.9,27,30,3,180,11.61,10.62,11.03
0,33.5,27,30.3,3,180,11.53,10.62,11.01
48.8,32,25,28.5,2,180,11.42,10.62,11
4,29.5,25.2,27.4,2,180,11.28,10.62,10.97
55,31.5,24.6,28,2,240,11.17,10.62,10.95
31.8,28.2,25,26.6,4,200,11.21,10.63,10.98
80.5,28,24.8,26.4,3,200,11.26,10.68,10.97
68.5,30,24,27,4,180,11.44,10.66,11.01
83.4,29,24.2,26.6,4,180,11.6,10.73,11.09
19.2,28.5,26.7,27.6,3,180,11.62,10.63,11.02
0.4,30.5,26.8,28.7,2,140,11.56,10.61,10.99
23.1,31.2,24.8,28,3,200,11.68,10.61,11.01
0,31.5,27,29.3,4,200,11.57,10.61,10.98
8.6,31.5,26.5,29,3,220,11.57,10.61,10.98
22.8,32.4,25.5,29,3,240,11.5,10.61,10.98
5,33,26.5,29.8,2,240,11.46,10.61,10.97
0,32.5,27,29.8,3,270,11.41,10.61,10.96
27,31.6,25,28.3,3,220,11.33,10.61,10.96
8.4,32.5,25.8,29.2,2,300,11.24,10.61,10.94
1,31,26.4,28.7,2,240,11.11,10.61,10.92
0,34.5,27.2,30.9,2,90,-1,-1,-1
0,35.5,27.5,31.5,3,140,-1,-1,-1
2,34.5,28,31.3,3,40,11.39,10.61,10.91
0.6,33.3,27,30.1,2,340,11.51,10.61,10.92
3,33.5,26.2,29.9,2,360,11.65,10.61,10.98
13.8,33.5,25.4,29.5,2,270,11.71,10.61,11
9.4,33.4,27,30.2,4,220,11.77,10.62,10.98
0,33.8,27.7,30.8,2,220,11.77,10.61,11.03
23.7,32,25.5,28.8,3,270,11.64,10.61,11
0,33.5,26.5,30,3,240,11.58,10.61,10.99
0,31.5,27.4,29.5,2,180,11.41,10.61,10.95
1.2,32.5,26.3,29.4,3,200,11.24,10.62,10.92
9,32.8,27.4,30.1,2,220,11.12,10.62,10.92
9.4,32.3,26.4,29.3,4,220,11.16,10.67,10.95
6.6,32.4,24.5,28.5,4,220,11.26,10.75,10.97
0,32,27.5,29.8,5,240,11.38,10.67,10.99
0.8,31,27.5,29.3,3,240,11.43,10.62,10.98
25.2,32.5,27.5,30,3,200,11.59,10.62,11.01
0,32.5,27.4,30,4,200,11.58,10.62,10.99
0,34.5,27,30.8,2,180,11.62,10.61,10.99
17.4,31.6,26,28.8,3,20,11.58,10.61,10.96
3,32.6,24.3,28.5,3,240,11.58,10.61,10.96
1.8,33.5,26,29.8,2,270,11.53,10.61,11.02
53.1,31.5,24.5,28,4,270,11.47,10.62,10.91
1.4,32,27,29.5,2,240,11.45,10.61,10.93
0,31,26.5,28.8,2,200,11.34,10.62,10.94
0,31.8,27.6,29.7,2,120,11.25,10.62,10.94
3.8,32.2,25.6,28.9,3,270,11.13,10.63,10.92
0.6,30.4,27,28.7,2,360,11.12,10.68,10.91
0,32,26,29,3,270,11.27,10.69,10.92
11.6,31,25,28,2,270,11.41,10.62,10.94
15.6,30.5,25.5,28,2,270,11.56,10.62,11.17
74.8,31.5,24.5,28,3,320,11.7,11,11.33
21.1,29.5,24.5,27,2,140,11.8,11,11.37
111.9,27,24,25.5,4,140,11.93,11,11.4
64.1,29.4,24.5,27,7,200,12.16,11.02,11.48
92,30,24,27,11,240,12.15,11,11.47
64.1,30,24.2,27.1,6,240,12.01,11.06,11.37
149.8,27.5,24,25.8,6,200,11.78,11.01,11.3
101.6,28,23.4,25.7,7,200,11.62,11.03,11.31
16.8,26.5,23.8,25.2,2,160,11.28,11.02,11.17
0,30.6,25,27.8,4,220,11.29,11.02,11.12
0,32.1,25.4,28.8,3,180,11.35,11,11.13
51.5,28,22.5,25.3,2,140,11.39,11,11.19
24.2,26.5,24.5,25.5,3,240,11.55,10.72,11.1
20.6,26.5,24.5,25.5,2,180,11.75,10.69,11.16
30,28,23.8,25.9,4,180,11.81,10.65,11.19
0,31.9,26.5,29.2,1,180,11.84,10.62,11.14
0,32.1,25.8,29,4,240,11.72,10.62,11.06
0,32.4,26.5,29.5,1,220,11.72,10.62,11.06
5,30.5,24.5,27.5,3,240,11.71,10.61,11.07
2,31.5,25,28.3,3,240,11.67,10.61,11.07
0.4,29.5,24.7,27.1,1,320,11.55,10.62,11.03
0,29,25.2,27.1,4,200,11.51,10.64,11.03
2.2,29.5,25,27.3,3,200,11.45,10.72,11.07
42.2,30,24,27,4,220,11.32,10.75,11.07
0,30.4,24,27.2,4,220,11.26,10.82,11.06
0,31.8,26.5,29.2,4,240,11.37,10.81,11.05
18.2,30.5,24.5,27.5,4,240,11.51,10.73,11.07
0,30.8,26.8,28.8,4,200,11.64,10.62,11.06
0.6,31.5,26.8,29.2,5,220,11.78,10.62,11.09
0,31.4,26.5,29,3,220,11.81,10.62,11.14
0,31.5,27,29.3,3,240,11.87,10.62,11.08
0,32.7,26,29.4,3,240,11.82,10.62,10.98
6,33,25.6,29.3,3,240,11.8,10.62,11.01
28,32.5,22.8,27.7,3,220,11.71,10.62,11.05
16.6,31,24.5,27.8,3,360,11.6,10.62,11.01
68.2,30,23,26.5,3,200,11.4,10.78,11.03
3.6,29.5,24.5,27,2,220,11.24,10.79,11.01
0,30.6,26,28.3,3,200,11.22,10.8,10.99
0,31.5,26.5,29,3,240,11.31,10.81,10.98
0,32.6,26.5,29.6,4,220,11.38,10.74,10.99
7,33,28,30.5,3,220,11.46,10.63,10.98
0,32.7,28.1,30.4,3,200,11.49,10.62,11
0,32.2,27.5,29.9,4,200,11.55,10.62,11.02
0,32,27.2,29.6,3,200,11.6,10.62,11.02
0,32,27.5,29.8,3,220,11.65,10.62,11.03
9.8,32,26,29,3,240,11.64,10.62,11.03
11,32,26.2,29.1,3,360,11.67,10.62,11.04
26,31.5,24.5,28,2,320,11.64,10.62,11
