RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
0,34.3,26.5,30.4,3,240,11.24,10.57,10.89
0,33,27,30,3,240,11.24,10.62,10.9
0,33,27.5,30.3,3,200,11.16,10.69,10.9
0.2,33,26,29.5,3,90,11.14,10.57,10.87
0.6,33.5,26.1,29.8,3,20,11.19,10.53,10.85
0,32.8,26.4,29.6,2,220,11.31,10.52,10.87
0,34.2,26.5,30.4,3,60,11.3,10.53,10.86
0,34.6,26.4,30.5,3,120,10.54,10.53,10.54
0,34,26.5,30.3,3,240,11.34,10.54,10.9
0,34,26.5,30.3,2,270,11.31,10.55,10.91
0,35,26.5,30.8,3,240,11.32,10.54,10.9
0,35.6,28,31.8,3,180,11.29,10.54,10.91
0,36,28,32,2,240,11.24,10.54,10.89
0,33.7,27.2,30.5,2,120,11.21,10.52,10.88
0,33.2,27.2,30.2,3,90,11.16,10.58,10.87
0,34.8,26.5,30.6,3,120,11.06,10.61,10.84
18.6,33.5,26,29.8,4,270,11.11,10.59,10.85
0,32.7,27.9,30.3,3,240,11.18,10.58,10.86
0,33,28.6,30.8,2,220,11.23,10.55,10.86
0,34.5,29,31.8,2,200,11.29,10.61,10.89
0,34.2,27.5,30.9,2,220,11.3,10.5,10.89
8.2,35,27,31,3,240,11.32,10.51,10.88
0,35.1,28,31.6,3,180,11.3,10.51,10.88
0,35,28,31.5,3,240,11.27,10.51,10.88
22,35,26.5,30.8,2,270,11.23,10.51,10.87
0,35.5,28.7,32.1,3,120,11.16,10.5,10.86
0,34,27,30.5,3,140,11.14,10.52,10.86
0,35,28.5,31.8,2,270,11.11,10.51,10.85
0,35,29.5,32.3,3,270,11.1,10.54,10.86
0,35,28,31.5,3,240,11.05,10.57,10.84
14.4,34.5,25,29.8,3,270,11.08,10.62,10.85
7.3,34.5,24.5,29.5,3,270,11.2,10.59,10.87
0.6,33.5,27.6,30.5,3,20,11.29,10.53,10.85
0,32.8,26,29.4,2,180,11.4,10.5,10.86
0,33.4,26.5,30,2,240,11.44,10.5,10.9
4,32.5,26,29.3,3,180,11.51,10.51,10.93
0,33,26.5,29.8,3,240,11.49,10.51,10.94
0,32.9,27,30,3,180,11.43,10.51,10.93
0,33.5,27,30.3,3,180,11.37,10.5,10.91
48.8,32,25,28.5,2,180,11.29,10.5,10.92
4,29.5,25.2,27.4,2,180,11.16,10.52,10.9
55,31.5,24.6,28,2,240,10.56,10.53,10.55
31.8,28.2,25,26.6,4,200,10.55,10.55,10.55
80.5,28,24.8,26.4,3,200,10.55,10.55,10.55
68.5,30,24,27,4,180,10.55,10.55,10.55
83.4,29,24.2,26.6,4,180,12.21,10.55,11.33
19.2,28.5,26.7,27.6,3,180,11.76,10.78,11.21
0.4,30.5,26.8,28.7,2,140,11.45,10.59,10.99
23.1,31.2,24.8,28,3,200,11.65,10.54,11
0,31.5,27,29.3,4,200,11.47,10.52,10.96
8.6,31.5,26.5,29,3,220,11.46,10.51,10.94
22.8,32.4,25.5,29,3,240,11.4,10.52,10.94
5,33,26.5,29.8,2,240,11.36,10.52,10.94
0,32.5,27,29.8,3,270,11.31,10.52,10.93
27,31.6,25,28.3,3,220,11.37,10.53,10.94
8.4,32.5,25.8,29.2,2,300,11.17,10.54,10.92
1,31,26.4,28.7,2,240,11.08,10.58,10.91
0,34.5,27.2,30.9,2,90,11.12,10.64,10.91
0,35.5,27.5,31.5,3,140,11.21,10.7,10.92
2,34.5,28,31.3,3,40,11.3,10.55,10.89
0.6,33.3,27,30.1,2,340,11.4,10.52,10.88
3,33.5,26.2,29.9,2,360,11.52,10.54,10.93
13.8,33.5,25.4,29.5,2,270,11.57,10.51,10.94
9.4,33.4,27,30.2,4,220,11.65,10.52,10.96
0,33.8,27.7,30.8,2,220,11.6,10.51,10.96
23.7,32,25.5,28.8,3,270,11.56,10.53,10.95
0,33.5,26.5,30,3,240,11.54,10.53,11.02
0,31.5,27.4,29.5,2,180,11.3,10.53,10.9
1.2,32.5,26.3,29.4,3,200,11.19,10.54,10.91
9,32.8,27.4,30.1,2,220,11.14,10.62,10.92
9.4,32.3,26.4,29.3,4,220,11.08,10.68,10.91
6.6,32.4,24.5,28.5,4,220,11.19,10.78,10.94
0,32,27.5,29.8,5,240,11.26,10.71,10.96
0.8,31,27.5,29.3,3,240,11.34,10.63,10.95
25.2,32.5,27.5,30,3,200,11.48,10.65,11
0,32.5,27.4,30,4,200,11.47,10.53,10.96
0,34.5,27,30.8,2,180,11.5,10.55,10.96
17.4,31.6,26,28.8,3,20,11.5,10.55,10.96
3,32.6,24.3,28.5,3,240,11.47,10.53,10.94
1.8,33.5,26,29.8,2,270,11.43,10.55,10.94
53.1,31.5,24.5,28,4,270,11.37,10.57,10.92
1.4,32,27,29.5,2,240,11.35,10.58,10.92
0,31,26.5,28.8,2,200,11.28,10.61,10.93
0,31.8,27.6,29.7,2,120,11.18,10.65,10.93
3.8,32.2,25.6,28.9,3,270,11.12,10.67,10.92
0.6,30.4,27,28.7,2,360,11.07,10.71,10.9
0,32,26,29,3,270,11.2,10.72,10.91
11.6,31,25,28,2,270,11.3,10.61,10.93
15.6,30.5,25.5,28,2,270,11.43,10.56,10.93
74.8,31.5,24.5,28,3,320,11.56,10.65,11.02
21.1,29.5,24.5,27,2,140,11.68,10.57,11.03
111.9,27,24,25.5,4,140,11.82,10.87,11.25
64.1,29.4,24.5,27,7,200,12.26,11.1,11.62
92,30,24,27,11,240,12.19,11.2,11.8
64.1,30,24.2,27.1,6,240,11.91,11.18,11.5
149.8,27.5,24,25.8,6,200,11.91,11.32,11.61
101.6,28,23.4,25.7,7,200,11.95,11.3,11.69
16.8,26.5,23.8,25.2,2,160,11.76,11.29,11.53
0,30.6,25,27.8,4,220,11.52,11.3,11.4
0,32.1,25.4,28.8,3,180,11.55,11.21,11.34
51.5,28,22.5,25.3,2,140,11.52,10.95,11.27
24.2,26.5,24.5,25.5,3,240,11.86,11.27,11.5
20.6,26.5,24.5,25.5,2,180,11.86,11.33,11.56
30,28,23.8,25.9,4,180,11.99,11.3,11.58
0,31.9,26.5,29.2,1,180,11.94,11.14,11.49
0,32.1,25.8,29,4,240,11.82,10.75,11.33
0,32.4,26.5,29.5,1,220,11.79,11.02,11.36
5,30.5,24.5,27.5,3,240,11.79,11.07,11.38
2,31.5,25,28.3,3,240,11.78,11.09,11.41
0.4,29.5,24.7,27.1,1,320,11.67,11.04,11.31
0,29,25.2,27.1,4,200,11.63,11.11,11.32
2.2,29.5,25,27.3,3,200,11.59,11.14,11.34
42.2,30,24,27,4,220,11.57,11.19,11.37
0,30.4,24,27.2,4,220,11.66,11.28,11.42
0,31.8,26.5,29.2,4,240,11.54,11.14,11.31
18.2,30.5,24.5,27.5,4,240,11.62,11.1,11.33
0,30.8,26.8,28.8,4,200,11.71,10.99,11.3
0.6,31.5,26.8,29.2,5,220,11.81,10.93,11.31
0,31.4,26.5,29,3,220,11.85,10.86,11.29
0,31.5,27,29.3,3,240,11.89,10.84,11.29
0,32.7,26,29.4,3,240,11.88,10.79,11.28
6,33,25.6,29.3,3,240,11.84,10.87,11.29
28,32.5,22.8,27.7,3,220,11.76,11.05,11.34
16.6,31,24.5,27.8,3,360,11.66,11.07,11.3
68.2,30,23,26.5,3,200,11.94,11.2,11.43
